CompanyNumber,CompanyName,QueryType,Query
14983527,"""4RENT ESTATES"" LTD",company_name_vat,"""""4RENT ESTATES"" LTD"" VAT"
14983527,"""4RENT ESTATES"" LTD",company_name_vat_number,"""""4RENT ESTATES"" LTD"" ""VAT number"""
14983527,"""4RENT ESTATES"" LTD",company_name_registration,"""""4RENT ESTATES"" LTD"" ""VAT registration"""
14983527,"""4RENT ESTATES"" LTD",company_number_vat,"""14983527"" VAT"
14983527,"""4RENT ESTATES"" LTD",company_number_vat_number,"""14983527"" ""VAT number"""
14983527,"""4RENT ESTATES"" LTD",name_postcode_vat,"""""4RENT ESTATES"" LTD"" ""NG1 5GF"" VAT"
15761044,"""A TASTE OF TUSCANY"" LTD",company_name_vat,"""""A TASTE OF TUSCANY"" LTD"" VAT"
15761044,"""A TASTE OF TUSCANY"" LTD",company_name_vat_number,"""""A TASTE OF TUSCANY"" LTD"" ""VAT number"""
15761044,"""A TASTE OF TUSCANY"" LTD",company_name_registration,"""""A TASTE OF TUSCANY"" LTD"" ""VAT registration"""
15761044,"""A TASTE OF TUSCANY"" LTD",company_number_vat,"""15761044"" VAT"
15761044,"""A TASTE OF TUSCANY"" LTD",company_number_vat_number,"""15761044"" ""VAT number"""
15761044,"""A TASTE OF TUSCANY"" LTD",name_postcode_vat,"""""A TASTE OF TUSCANY"" LTD"" ""WC2H 9JQ"" VAT"
04494986,"""A"" CERAMICS LIMITED",company_name_vat,"""""A"" CERAMICS LIMITED"" VAT"
04494986,"""A"" CERAMICS LIMITED",company_name_vat_number,"""""A"" CERAMICS LIMITED"" ""VAT number"""
04494986,"""A"" CERAMICS LIMITED",company_name_registration,"""""A"" CERAMICS LIMITED"" ""VAT registration"""
04494986,"""A"" CERAMICS LIMITED",company_number_vat,"""04494986"" VAT"
04494986,"""A"" CERAMICS LIMITED",company_number_vat_number,"""04494986"" ""VAT number"""
04494986,"""A"" CERAMICS LIMITED",name_postcode_vat,"""""A"" CERAMICS LIMITED"" ""BL2 1HQ"" VAT"
17330181,"""BACKS"" LTD",company_name_vat,"""""BACKS"" LTD"" VAT"
17330181,"""BACKS"" LTD",company_name_vat_number,"""""BACKS"" LTD"" ""VAT number"""
17330181,"""BACKS"" LTD",company_name_registration,"""""BACKS"" LTD"" ""VAT registration"""
17330181,"""BACKS"" LTD",company_number_vat,"""17330181"" VAT"
17330181,"""BACKS"" LTD",company_number_vat_number,"""17330181"" ""VAT number"""
17330181,"""BACKS"" LTD",name_postcode_vat,"""""BACKS"" LTD"" ""OX29 9NP"" VAT"
02871100,"""BEDE INVESTMENT PROPERTIES LIMITED""",company_name_vat,"""""BEDE INVESTMENT PROPERTIES LIMITED"""" VAT"
02871100,"""BEDE INVESTMENT PROPERTIES LIMITED""",company_name_vat_number,"""""BEDE INVESTMENT PROPERTIES LIMITED"""" ""VAT number"""
02871100,"""BEDE INVESTMENT PROPERTIES LIMITED""",company_name_registration,"""""BEDE INVESTMENT PROPERTIES LIMITED"""" ""VAT registration"""
02871100,"""BEDE INVESTMENT PROPERTIES LIMITED""",company_number_vat,"""02871100"" VAT"
02871100,"""BEDE INVESTMENT PROPERTIES LIMITED""",company_number_vat_number,"""02871100"" ""VAT number"""
02871100,"""BEDE INVESTMENT PROPERTIES LIMITED""",name_postcode_vat,"""""BEDE INVESTMENT PROPERTIES LIMITED"""" ""W12 8LA"" VAT"
04427981,"""BELLE-VUE"" ENTERPRISES LIMITED",company_name_vat,"""""BELLE-VUE"" ENTERPRISES LIMITED"" VAT"
04427981,"""BELLE-VUE"" ENTERPRISES LIMITED",company_name_vat_number,"""""BELLE-VUE"" ENTERPRISES LIMITED"" ""VAT number"""
04427981,"""BELLE-VUE"" ENTERPRISES LIMITED",company_name_registration,"""""BELLE-VUE"" ENTERPRISES LIMITED"" ""VAT registration"""
04427981,"""BELLE-VUE"" ENTERPRISES LIMITED",company_number_vat,"""04427981"" VAT"
04427981,"""BELLE-VUE"" ENTERPRISES LIMITED",company_number_vat_number,"""04427981"" ""VAT number"""
04427981,"""BELLE-VUE"" ENTERPRISES LIMITED",name_postcode_vat,"""""BELLE-VUE"" ENTERPRISES LIMITED"" ""PE13 1EH"" VAT"
